,original,generated_dpo_300,generated_dpo_600,generated_dpo_900,generated_dpo_1200,generated_dpo_1500,generated_dpo_1800,generated_dpo_2100,generated_dpo_2400,generated_dpo_2700,generated_dpo_3000
BERT,52.05% ± 3.92,52.90% ± 5.62,58.36% ± 3.01,59.50% ± 2.91,61.29% ± 4.59,60.95% ± 0.80,62.11% ± 1.23,60.42% ± 1.28,63.92% ± 1.16,62.61% ± 3.14,64.06% ± 2.32
LSTM,45.97% ± 2.79,53.29% ± 1.78,53.49% ± 3.77,56.15% ± 1.65,58.72% ± 2.11,58.37% ± 1.19,58.40% ± 2.07,58.52% ± 1.65,60.11% ± 1.49,59.50% ± 3.35,61.13% ± 2.55
LR,52.88% ± 0.00,50.72% ± 0.00,51.91% ± 0.00,50.65% ± 0.00,50.93% ± 0.00,51.51% ± 0.00,51.41% ± 0.00,52.33% ± 0.00,51.92% ± 0.00,51.52% ± 0.00,52.63% ± 0.00
SVM,59.46% ± 0.00,61.37% ± 0.00,59.79% ± 0.00,60.35% ± 0.00,61.50% ± 0.09,61.05% ± 0.00,59.65% ± 0.00,59.65% ± 0.00,59.86% ± 0.00,57.86% ± 0.00,57.86% ± 0.00
