,original,generated_dpo_300,generated_dpo_600,generated_dpo_900,generated_dpo_1200,generated_dpo_1500,generated_dpo_1800,generated_dpo_2100,generated_dpo_2400,generated_dpo_2700,generated_dpo_3000
BERT,96.05% ± 0.78,96.13% ± 1.00,97.09% ± 0.43,97.23% ± 0.45,97.42% ± 0.58,97.49% ± 0.17,97.68% ± 0.18,97.41% ± 0.31,97.86% ± 0.20,97.84% ± 0.47,97.92% ± 0.28
LSTM,95.16% ± 0.49,96.52% ± 0.32,96.64% ± 0.54,97.11% ± 0.25,97.46% ± 0.25,97.54% ± 0.21,97.63% ± 0.29,97.53% ± 0.25,97.83% ± 0.21,97.81% ± 0.35,97.96% ± 0.19
LR,96.45% ± 0.00,96.27% ± 0.00,96.58% ± 0.00,96.58% ± 0.00,96.65% ± 0.00,96.79% ± 0.00,96.88% ± 0.00,97.03% ± 0.00,97.05% ± 0.00,97.10% ± 0.00,97.23% ± 0.00
SVM,98.10% ± 0.00,98.06% ± 0.00,97.95% ± 0.00,97.95% ± 0.00,98.00% ± 0.01,97.99% ± 0.00,97.92% ± 0.00,97.92% ± 0.00,97.93% ± 0.00,97.86% ± 0.00,97.86% ± 0.00
