,original,generated_dpo_300,generated_dpo_600,generated_dpo_900,generated_dpo_1200,generated_dpo_1500,generated_dpo_1800,generated_dpo_2100,generated_dpo_2400,generated_dpo_2700,generated_dpo_3000
BERT,36.22% ± 3.98,37.22% ± 5.82,43.39% ± 3.71,44.76% ± 3.97,46.94% ± 5.24,46.95% ± 1.91,49.32% ± 2.43,46.49% ± 3.87,51.68% ± 2.80,52.48% ± 5.90,52.86% ± 4.15
LSTM,30.78% ± 2.50,38.30% ± 2.14,39.31% ± 4.75,42.79% ± 2.30,46.48% ± 2.83,47.33% ± 2.59,48.67% ± 4.21,47.28% ± 2.82,51.55% ± 3.55,51.62% ± 5.17,53.61% ± 3.35
LR,37.67% ± 0.00,36.05% ± 0.00,37.92% ± 0.00,37.45% ± 0.00,37.94% ± 0.00,39.00% ± 0.00,39.57% ± 0.00,40.91% ± 0.00,40.93% ± 0.00,41.26% ± 0.00,42.71% ± 0.00
SVM,57.04% ± 0.00,55.56% ± 0.00,53.50% ± 0.00,53.42% ± 0.00,54.25% ± 0.13,54.04% ± 0.00,52.80% ± 0.00,52.80% ± 0.00,53.12% ± 0.00,51.92% ± 0.00,51.92% ± 0.00
