,original,generated_dpo_300,generated_dpo_600,generated_dpo_900,generated_dpo_1200,generated_dpo_1500,generated_dpo_1800,generated_dpo_2100,generated_dpo_2400,generated_dpo_2700,generated_dpo_3000
BERT,93.71% ± 2.52,93.71% ± 2.81,89.84% ± 3.37,89.68% ± 3.90,89.19% ± 1.41,87.26% ± 4.25,84.35% ± 4.43,87.74% ± 6.87,84.35% ± 4.80,79.19% ± 5.93,82.26% ± 6.14
LSTM,91.13% ± 1.44,87.90% ± 2.10,84.84% ± 2.25,81.94% ± 2.20,80.00% ± 1.64,76.61% ± 3.78,73.71% ± 3.48,77.42% ± 4.89,72.74% ± 4.46,70.97% ± 3.95,71.45% ± 4.13
LR,88.71% ± 0.00,85.48% ± 0.00,82.26% ± 0.00,78.23% ± 0.00,77.42% ± 0.00,75.81% ± 0.00,73.39% ± 0.00,72.58% ± 0.00,70.97% ± 0.00,68.55% ± 0.00,68.55% ± 0.00
SVM,62.10% ± 0.00,68.55% ± 0.00,67.74% ± 0.00,69.35% ± 0.00,70.97% ± 0.00,70.16% ± 0.00,68.55% ± 0.00,68.55% ± 0.00,68.55% ± 0.00,65.32% ± 0.00,65.32% ± 0.00
